Country,Sub Region,Region
Bahrain,Middle East,Asia
Iraq,Middle East,Asia
Iran,Middle East,Asia
Israel,Middle East,Asia
Jordan,Middle East,Asia
Kuwait,Middle East,Asia
Lebanon,Middle East,Asia
Oman,Middle East,Asia
Palestine,Middle East,Asia
Qatar,Middle East,Asia
Saudi Arabia,Middle East,Asia
Syrian Arab Republic,Middle East,Asia
United Arab Emirates,Middle East,Asia
Yemen,Middle East,Asia
Australia,Oceania,Oceania
Fiji,Oceania,Oceania
French Polynesia,Oceania,Oceania
Guam,Oceania,Oceania
Kiribati,Oceania,Oceania
Marshall Islands,Oceania,Oceania
Micronesia,Oceania,Oceania
New Caledonia,Oceania,Oceania
New Zealand,Oceania,Oceania
Papua New Guinea,Oceania,Oceania
Samoa,Oceania,Oceania
"Samoa, American",Oceania,Oceania
"Solomon, Islands",Oceania,Oceania
Tonga,Oceania,Oceania
Vanuatu,Oceania,Oceania
Republic of Korea,Asia,Asia
